id,name,parentId
I.SDLC,Software Development Lifecycle,I
I.DA,Data and Analytics,I
I.PL,Programming Languages,I
I.CC,Cloud Computing,I
I.PL.CPP,C++,I.PL
I.PL.C,C,I.PL
I.PL.C#,I.PL
I.PL.JS,JavaScript,I.PL
I.PL.J,Java,I.PL
I.PL.PY,Python,I.PL
I.SDLC.VC,Version Control,I.SDLC
I.SDLC.AG,Agile Methodologies,I.SDLC
I.SDLC.CI,CI/CD,I.SDLC
I.SDLC.SCI,Development Frameworks,I.SDLC
I.DA.VIS,Data Visualization,I.DA
I.DA.MOD,Data Modeling,I.DA
I.DA.GOV,Data Governance,I.DA
I.DA.ARC,Data Architecture,I.DA
I.DA.ENG,Data Engineering,I.DA
I.DA.DAE,Analytical Engineering,I.DA
I.DA.VIS.DASH,Dashboard Design,I.DA.VIS
I.DA.VIS.RPT,Report Design,I.DA.VIS
I.DA.VIS.PBI,Power BI,I.DA.VIS
I.DA.VIS.TAB,Tableau,I.DA.VIS
I.DA.VIS.QS,Quicksight,I.DA.VIS
I.DA.VIS.LKR,Looker,I.DA.VIS
I.DA.VIS.DES,Visualization Design,I.DA.VIS
I.DA.VIS.ENG,Visualization Engineering,I.DA.VIS
I.DB,Database Systems,I
I.DB.REL,Relational Data,I.DB
I.DB.DOC,Document Data,I.DB
I.DB.KVP,Key-value Data,I.DB
I.DB.GPH,Graph Data,I.DB
I.DB.VEC,Vector Data,I.DB
I.DB.GEO,Geographical Data,I.DB